age,PC1 5pt Smooth (lake),,,
10.47516604,,,,
10.53339472,,,,
10.96096331,-0.13654,,,
11.31739293,-0.1502,,,
11.62584233,-0.16346,,,
11.90839281,-0.16552,,,
12.18699296,-0.1789,,,
12.48946553,-0.1886,,,
12.80586133,-0.1862,,,
13.14057866,-0.166,,,
13.46211702,-0.19142,,,
13.7502321,-0.19628,,,
14.04660402,-0.1876,,,
14.40503101,-0.20402,,,
14.88090384,-0.23172,,,
15.48832495,-0.2106,,,
16.00239607,-0.20436,,,
16.66217813,-0.20236,,,
17.38653225,-0.18674,,,
18.06423701,-0.17252,,,
18.65611036,-0.16556,,,
19.18454138,-0.15934,,,
19.66602135,-0.15922,,,
20.10932646,-0.1552,,,
20.52762434,-0.1537,,,
20.92649048,-0.15456,,,
21.35994485,-0.15682,,,
21.7498784,-0.15692,,,
22.15238054,-0.15536,,,
22.54446839,-0.1545,,,
22.93342337,-0.16162,,,
23.32652692,-0.15876,,,
24.12414875,-0.16436,,,
24.57147802,-0.1679,,,
25.19863959,-0.17002,,,
25.68403486,-0.16294,,,
26.10981182,-0.16338,,,
26.58314546,-0.16058,,,
27.01581494,-0.16162,,,
27.41203254,-0.1622,,,
27.82736297,-0.15972,,,
28.23797992,-0.15846,,,
28.57012625,-0.15528,,,
29.01035831,-0.1564,,,
29.43915388,-0.15606,,,
29.8432406,-0.1692,,,
30.27231163,-0.17174,,,
30.71364768,-0.17466,,,
31.16976028,-0.17354,,,
31.63973523,-0.16988,,,
31.83705116,-0.15064,,,
32.61127833,-0.1501,,,
33.10475573,-0.14124,,,
33.57075403,-0.1355,,,
34.13537178,-0.13018,,,
34.60488117,-0.14654,,,
35.10222512,-0.14432,,,
35.62400869,-0.15164,,,
36.07639015,-0.15988,,,
36.58195692,-0.16794,,,
37.05623892,-0.15942,,,
37.56439083,-0.16256,,,
38.00601315,-0.15192,,,
38.47247713,-0.15196,,,
38.94297416,-0.15386,,,
39.4086201,-0.16608,,,
39.85489518,-0.1747,,,
40.33374428,-0.19858,,,
40.79302309,-0.19976,,,
41.33539299,-0.19866,,,
41.61947927,-0.1899,,,
42.42648686,-0.182,,,
42.93003798,-0.18772,,,
43.37467591,-0.18672,,,
43.81642119,-0.18724,,,
44.25517413,-0.18658,,,
44.69083501,-0.18392,,,
45.12330411,-0.1729,,,
45.52575644,-0.1715,,,
46.79581345,-0.1664,,,
47.12311626,-0.18176,,,
47.53536918,-0.1805,,,
47.94375914,-0.17064,,,
48.34818644,-0.17074,,,
49.14475421,-0.17724,,,
49.55374382,-0.16248,,,
49.68740539,-0.16264,,,
50.23351708,-0.17712,,,
50.58805199,-0.17876,,,
50.94532159,-0.1792,,,
51.27881867,-0.19524,,,
51.59065801,-0.19722,,,
51.87409495,-0.18082,,,
52.1976804,-0.17774,,,
52.45512064,-0.17754,,,
52.69967951,-0.16334,,,
52.90764122,-0.16512,,,
53.13364946,-0.166,,,
53.35288277,-0.16326,,,
53.56745594,-0.16288,,,
53.77948376,-0.16134,,,
53.99108101,-0.1781,,,
54.20436248,-0.18452,,,
54.42144297,-0.201,,,
54.68707872,-0.2038,,,
55.07818981,-0.20376,,,
55.32955945,-0.18982,,,
55.59497161,-0.18842,,,
55.87654105,-0.18038,,,
56.17638258,-0.17816,,,
56.49661098,-0.18596,,,
56.83934103,-0.19686,,,
57.20668752,-0.21774,,,
57.60076524,-0.21072,,,
58.02368898,-0.2074,,,
58.50406733,-0.21144,,,
58.99295079,-0.19702,,,
59.51714357,-0.17638,,,
60.07876048,-0.1884,,,
60.67991629,-0.18402,,,
61.35653912,-0.17128,,,
62.29340797,-0.17814,,,
63.48659279,-0.1701,,,
65.80668236,-0.1592,,,
67.27402515,-0.16132,,,
68.72891955,-0.14868,,,
69.93976502,-0.14196,,,
71.33690125,-0.1434,,,
72.35775762,-0.14078,,,
73.10170371,-0.1466,,,
73.72694158,-0.15616,,,
73.93542103,-0.15192,,,
74.11705981,-0.155,,,
74.31703088,-0.1581,,,
74.52212321,-0.09102,,,
74.72096377,-0.0947,,,
74.91737088,-0.09006,,,
75.11136504,-0.08544,,,
75.3053467,-0.00156,,,
75.48984564,-0.00644,,,
75.83493926,0.07682,,,
75.86591412,0.13136,,,
76.01753567,0.2245,,,
76.10459156,0.2186,,,
76.19783886,0.16294,,,
76.36923396,0.09054,,,
76.54291182,0.02878,,,
76.54509628,-0.07236,,,
76.72519405,-0.15744,,,
76.89652929,-0.16484,,,
77.23264795,-0.1749,,,
77.42201187,-0.17482,,,
77.59748976,-0.17326,,,
77.74764623,-0.15934,,,
77.90579384,-0.17144,,,
78.05896939,-0.1722,,,
78.21591645,-0.17148,,,
78.37548049,-0.1751,,,
78.45068618,-0.20672,,,
78.87533834,-0.19142,,,
79.02306947,-0.1759,,,
79.16438248,-0.17416,,,
