V1,V2
12.07261458,17.66721296
10.22826387,17.64851624
10.0187513,18.45204908
11.19813729,18.60404503
9.229514414,17.3932661
11.09954135,17.44581839
10.54419624,16.80206643
9.40274807,16.4030501
12.66280752,16.54836638
11.69260056,16.30173159
10.12131065,15.43554878
10.72594564,15.91550047
11.36479508,15.36733047
11.33378843,14.11168858
12.55804308,14.89353944
-32.33475915,8.616810025
-32.65437931,8.439551354
-33.88933764,7.739386003
-35.11373729,6.89141571
-35.96468185,5.582571476
-37.79489842,5.189864183
-38.80335183,6.121797375
-38.48292361,5.316928673
-40.22950107,6.603922708
-40.87576042,5.387505929
-45.19361037,7.912621983
-45.18565898,7.909044471
-42.56346423,7.019116025
-40.83839562,6.64095722
-41.01284319,7.493624211
-41.70337672,6.298710733
-40.71645311,8.419941013
-39.40503455,10.43885768
4.949859554,6.878534971
-40.37041796,9.130858812
-39.27316438,11.1349295
-8.684607284,12.01531875
-9.100688923,11.91079093
-8.122501304,11.80371045
-1.153767145,14.30945828
-1.291514443,14.26158589
-2.744417581,14.06098658
-5.08631335,13.31152888
-10.02089723,15.83005507
-9.570267,16.03899708
-9.477894522,16.0675039
-6.466196391,13.71769875
-7.036579358,12.50855535
-10.51171251,10.7911441
-8.4669213,10.67998571
1.983406257,2.082118442
-3.084150275,3.596096201
-4.591647951,3.607363343
-5.172194168,3.644839204
-8.883642152,-18.65704695
-7.598968838,-19.12448083
-9.372500847,-19.8264559
-9.352674122,-19.94835212
-6.286239877,-19.73166591
-5.555855314,-19.61896084
-4.845632686,-19.56823287
0.712308655,-20.06259909
12.10974179,-7.636631409
1.466825421,-20.26288574
12.04888329,-8.096193303
-0.441233988,-20.45274462
-0.642373547,-18.89714271
-3.177884031,-19.21756631
-4.648194198,-17.82755321
8.180758525,-14.76025629
-1.124548175,-19.51416032
9.590896174,-12.66766834
7.78616628,-14.48856273
8.185450785,-12.88170484
2.717099468,2.629862352
-3.230286865,-7.813335201
9.697384772,-11.2725029
1.00535422,-18.80104972
2.680690616,-19.60850154
5.960115684,-15.61697266
10.44914434,-10.47759434
-11.59104809,-1.16942114
-10.2917949,8.201862271
-10.03903063,7.797249586
-9.382561263,8.619798085
-14.31059631,0.506488997
-10.7847894,7.234465585
-15.01756029,0.37888195
-17.48432766,0.121576561
-15.658109,2.726744018
-14.58972143,3.174347693
-10.89961832,6.755304477
-14.48062247,0.874165998
-12.23848877,3.923218903
-11.78406623,3.923869097
-22.72590636,-0.605052498
-19.03301809,-3.353369507
-18.31652778,-3.092789108
-17.71286931,-1.792617754
-11.61043501,-1.501575074
-16.02785145,-5.22129915
-15.96697919,-6.317563557
-16.487137,-6.579727838
-13.25510456,-5.537354542
-13.54856825,-5.472606562
-17.33765422,-4.317986701
-17.04323672,-4.153991564
-17.31644164,-5.648396654
-17.93488146,-1.4076981
-10.3411509,1.415121222
-15.04617652,-3.535565088
-24.37635845,-11.51940487
-36.03580918,-10.71030168
-26.13292825,-10.69456178
-34.13925484,-9.775243027
-28.58844762,-10.46873266
-29.13049768,-11.25672769
-31.408975,-8.801758871
-30.60000686,-8.422412951
-31.49591601,-7.407946827
-29.37026449,-8.63472601
-32.81089691,-6.649432126
-35.03461578,-4.640135317
-27.52007232,-13.62244544
-28.37932878,-12.52218238
-27.12284896,-12.37389108
-27.28822214,-11.20054713
-27.21016118,-10.49575938
-32.89087104,-10.2742019
-27.86151369,-11.7511355
-30.46988222,-10.02432986
-31.8757449,-5.735295796
-29.24862596,-6.486703731
-28.48359283,-6.742184321
-28.10622419,-7.749955215
-34.26396454,-2.675688904
-30.05251372,-7.370994218
-32.97225804,-5.259918019
-30.55099893,-6.56388186
-36.34672658,7.762700557
-37.13389803,3.253297364
-36.40343367,8.197849447
-36.68741442,1.53982019
-36.92403883,2.328639979
-34.51225986,-3.188465992
-36.24679148,3.393734509
-35.69211084,0.901975242
-36.83067033,6.822554278
-34.73807745,2.50801938
-32.08434252,-0.365429283
-34.95140381,2.91706331
-25.62704197,-4.691401411
-29.65409793,-2.678857731
-31.18011475,-3.65054993
-29.07957097,-3.989635925
-33.43131419,2.072627054
-24.05487844,-1.900776037
-25.76627442,-0.020241089
-25.24990975,-0.366842525
-23.39820066,-3.316092558
-23.81886605,-2.857046807
-31.49032649,0.780334204
-30.88206996,0.410559003
-24.47640036,-0.982816555
-27.45973097,-4.325453577
-28.3787012,-3.53031358
-31.09650156,-1.394780716
-31.58633471,-1.415868915
-31.25840679,-9.969070985
-33.51212017,-8.593696523
-34.18123282,-8.823108422
-38.20327637,-3.665147006
-26.68004301,-13.60051538
-36.2167818,-5.245964714
-36.91262468,-5.89885572
-37.48446473,-4.420850149
-37.93498758,-4.789524261
-39.64165306,-2.576947437
-38.46360915,-5.37154002
-35.54314015,-8.39338677
-36.76859741,-7.524297025
-36.6459962,-8.152452677
-39.84650805,-4.414906303
-39.56161736,-5.289657823
-40.30366882,-3.579770654
-38.42177038,-8.840024561
-31.61854289,8.95390842
-38.47683521,-9.319405615
2.446284236,-15.79595841
5.722334727,-12.75621574
4.076354223,-14.48016718
5.224071627,-14.14838299
1.16216689,-16.01172588
-0.0184094,-15.861406
9.081573532,-8.084355739
