V1,V2
29.54614727,-13.92205781
28.82617932,-16.05086406
27.85784327,-16.37070105
27.96069601,-14.46957383
28.83292853,-17.3600583
29.13061279,-15.19066938
29.99504304,-15.88361547
29.93291534,-17.12903999
32.52414044,-16.03348422
31.35392528,-15.96192496
30.51340825,-15.00605558
30.68310527,-14.16396283
31.63656965,-14.71848485
32.42541078,-12.8775257
33.24701014,-14.33574893
24.13894398,20.7179908
24.0982822,21.43276014
23.84468475,23.1795798
22.97879222,24.30425322
21.51458081,24.36276199
20.0017912,26.14867483
20.52946115,27.30368091
19.28282824,26.90872034
20.76214454,28.7052251
22.34273563,28.66053539
20.79514147,33.75915749
20.79591116,33.74567904
21.62613131,31.17639005
21.12252344,29.41802402
20.25318733,29.95702732
22.04468713,30.03458606
19.05563607,29.86621168
16.55936306,29.40305521
-33.93702553,21.20147067
18.06236249,29.77370883
15.63127724,29.70649524
-32.8176367,5.767193252
-33.4830102,5.867656815
-32.42185909,6.403387915
-30.48586808,19.61885699
-30.50779094,17.66993967
-35.87117624,15.03504209
-30.83863612,10.50425728
-33.95648026,1.696053574
-34.61637856,1.870444634
-34.61443118,2.133425332
-25.28357073,5.387640982
-31.04857242,7.356491736
-31.17683839,4.398941595
-34.03294716,7.288639237
-21.68622686,19.01128511
-23.09973066,15.69404005
-21.10852933,8.082744262
-21.62005646,4.10337113
-17.03948274,0.980586184
-14.58829263,-10.41334347
-10.555937,-7.295614335
-10.50565742,-7.426765096
-14.40274377,-12.50768106
-14.27567225,-13.82689731
-12.77366383,-13.4417626
-10.0728579,-20.9043713
12.14261388,-18.23671046
-9.919917402,-21.96280156
8.295473756,-19.25839254
-12.25493564,-19.67042515
-7.165641161,-19.45535707
-11.73274666,-15.97629226
-16.57439891,-15.2648719
-1.584770594,-18.32920821
-10.31560496,-18.25104734
3.180739226,-16.53232597
-2.799971359,-18.33133884
0.923128271,-11.85601808
-23.06158883,19.76215914
-7.311421893,-1.287067112
3.743630833,-11.82676263
