V1,V2,V3
17.78475893,31.38380156,4.654180419
16.3142339,30.80786938,1.967223934
14.32880777,30.58100536,1.229598304
14.59913043,31.01010624,3.960445408
16.0099766,30.78638801,-0.874279114
17.09252537,33.03344677,1.891771617
18.17619671,31.73802982,0.477243973
16.97370093,28.99850494,0.17373843
20.41713701,33.01256989,3.952763589
20.60741922,32.18472841,1.421776897
18.26825965,29.05227396,2.80420578
19.02772312,30.91253984,2.778824903
20.33051323,29.84931033,1.289427395
21.99188444,27.80725447,2.701657766
21.46095477,29.98551735,5.040309368
29.26110863,-21.31728649,8.662426767
29.62333259,-21.34429292,10.13930498
30.08494922,-21.67042943,12.66205149
29.37670463,-22.75474726,14.55728619
28.12271494,-24.78532698,15.0016416
26.11925018,-25.39543736,17.98602913
27.26160958,-24.74240015,19.78122064
24.99221813,-25.08662046,19.57779077
28.36441071,-25.84176111,22.40825185
30.66654991,-25.55858301,21.36314107
30.18313746,-25.47999973,29.24954397
30.02677201,-24.56106283,29.15037156
30.48959264,-24.4218426,24.89711879
28.5962481,-23.80714157,21.92343484
27.77469345,-23.75121009,23.7252697
30.411554,-23.22975078,22.88512218
25.79039291,-24.33973755,24.08257613
21.58946088,-23.78436623,23.90373674
-13.4249186,23.37439208,22.2873103
24.01353407,-23.98911166,24.15713528
20.02029127,-23.28762613,24.72952648
-16.85817266,-3.467011481,29.48514701
-15.55699583,-2.847377191,30.24383699
-16.28350407,-2.531581397,28.12198816
-8.573487447,18.15296498,21.62976013
-10.63972602,15.96357628,22.44008582
-13.36413707,15.85774379,31.53931041
-17.84578947,6.781085052,26.72841826
-21.69566572,-1.059738402,35.16253275
-22.92572684,-1.168987834,34.11016472
-22.56218599,0.053560244,34.18679534
-21.8855818,-1.744251643,19.22055738
-17.43986501,0.107484058,27.40689373
-18.14814791,-5.860758421,27.33277437
-13.93993462,-3.900289988,27.9253152
-14.84807227,17.01828227,10.36326935
-16.85132889,12.43058622,13.41630076
-19.17792241,2.50357866,12.47591267
-22.32280404,2.380219958,10.55767516
-21.45895066,-0.288419205,2.849377293
-17.50890727,-6.827207404,-20.57486664
-15.15974086,3.408423853,-14.25459379
-14.71521313,3.230208233,-15.24188719
-16.16529956,-6.541919776,-23.7060354
-15.36637779,-8.433634931,-24.96822842
-13.3831682,-8.606686314,-23.48797838
-5.811908959,-3.996310968,-33.43515114
10.46399735,20.249355,-16.09225289
-4.453837689,-2.858260787,-34.41041425
8.964898303,16.73117571,-21.42170324
-8.810015303,-6.583687657,-33.02825714
-5.066565365,-2.708717716,-28.13002933
-10.20827734,-7.618565043,-27.31200089
-15.03295739,-10.98781413,-28.26279602
0.687480701,4.43882176,-27.15112684
-7.191878041,-5.317717928,-29.55448316
4.827730449,9.027979604,-21.56212236
-0.010200287,2.416754079,-26.21043154
-0.07679104,3.549852197,-17.10360089
-13.59071309,18.62391598,12.17429155
-9.792512603,-4.059528451,-5.278621783
4.667587436,6.589526716,-16.82957485
-6.162369997,-6.528760308,-34.470167
-3.302643065,-3.64604528,-36.52309397
9.817970543,5.455592406,-26.05804876
5.745597522,5.279872803,-15.34209151
-11.66100796,-12.81664864,8.338889762
-14.34616824,-7.719551912,25.00881878
-13.12521678,-7.580447673,24.14931976
-13.33325906,-5.99545741,25.92843278
-11.44916355,-17.29957342,11.86528724
-14.63356438,-8.568377981,22.92673195
-12.85922464,-18.44070568,11.80296467
-13.90450638,-22.77198234,11.42326323
-15.1314222,-18.46351471,15.56575146
-14.56320749,-16.50506363,16.26425793
-13.79975445,-9.430871574,22.05673786
-12.19689455,-17.38076074,13.04917238
-12.27585146,-12.10181883,18.10963349
-10.96350549,-11.4520775,17.41632978
-2.552710004,-24.35335039,11.69532092
-8.218308888,-24.55573693,7.163799888
-9.625731229,-23.47355573,7.570459786
-12.53528055,-24.0123474,8.028546563
-11.93676854,-13.3194518,7.141412995
-11.69699672,-22.21467146,3.166001449
-10.51705579,-21.79204479,1.034859611
-10.75921488,-23.39835759,0.669769192
-9.473920621,-16.45879755,0.472098661
-9.508821131,-17.45171689,1.145142792
-9.915617673,-23.32469891,4.765480897
-9.349576918,-21.9645104,4.868097436
-9.212961169,-23.35473892,2.310887632
-12.32050627,-23.79395588,9.447507753
-11.95795637,-9.69966177,12.6654404
-10.16916755,-18.85891447,5.382609341
-0.820112224,-34.72435473,-2.984970728
13.84475947,-31.85051486,-4.435989827
3.294449632,-34.33041456,-2.855700304
13.11017481,-33.46716311,-2.170881054
6.248780474,-36.81413664,-2.116433944
5.549670561,-38.46023985,-0.774730977
10.92469714,-37.79865071,-0.323271825
11.07242348,-39.69549863,0.585782592
12.88940777,-38.41614452,1.987837037
8.530507131,-39.87288734,0.960815053
14.82313065,-36.27933768,2.501652404
18.65892334,-32.85195677,4.213807973
0.352876458,-38.70566903,0.049116581
3.038194577,-37.76000542,0.494740243
1.571860617,-36.66281739,-0.880290759
3.590055735,-36.75198746,-2.935966269
4.14711528,-35.49982797,-1.288186888
10.68503653,-34.46135222,-2.165382197
3.066625239,-38.31051591,-1.77862147
8.358686391,-36.24571283,0.346996109
13.24508639,-35.36976999,4.271494136
10.21713064,-39.67244776,4.839447569
11.33003563,-41.35082635,4.005763798
8.543817637,-41.58721456,3.092928033
18.89680545,-32.78866546,7.779477622
9.719285426,-38.00122822,2.873804245
