"","hunting","gathering","fishing","MAT","MATseas","TAP","TAPseas","lon","lat"
"Punan_(Borneo)",0.300062296037829,0.650062296037829,0.0500622960378294,1.28507687841847,-1.56015260427787,4.03649903957526,-1.57345560905864,114,3
"Batek_Phillipines",0.300020148940953,0.650020148940953,0.0500201489409526,1.3664138951817,-1.47792990896319,1.18586870382548,0.167593823292836,119.11,10
"Kubu-(Ridan)",0.250038364126345,0.700038364126345,0.0500383641263453,1.2579645394974,-1.54499978127426,2.4084612578323,-1.01780153490392,102.69,-3.04
"Shompen",0.150104605511208,0.500104605511208,0.350104605511208,1.40256368040981,-1.48513371006327,1.73522195992476,-0.795539905242025,93.77,7
"Onge",0.200004327709237,0.350004327709237,0.450004327709237,1.33930155626063,-1.48140760604598,2.35465216896608,0.130550218349187,92.47,10.7
"Jarwa",0.200103003996156,0.500103003996156,0.300103003996156,1.37545134148873,-1.45457965712156,2.68501494712146,0.649160687560266,92.37,12.19
"Ayta-Pinatubo",0.080103684811358,0.870103684811358,0.050103684811358,1.2579645394974,-1.39620402751748,2.50356569396794,1.61229441609513,120.33,15.5
"Andamanese_North",0.350086505466574,0.600086505466574,0.0500865054665738,1.38448878779576,-1.43098099834544,2.11188558198827,0.908465922165806,92.89,13.32
"Semang-(Jehai)",0.400176448756396,0.500176448756396,0.100176448756396,1.28507687841847,-1.50053494000136,1.97923992106225,-0.943714325016619,101,5.86
"Vedda-(Rock_Vedda)",0.300151642675536,0.650151642675536,0.0501516426755356,1.42063857302386,-1.30603231029927,1.27221352084336,0.500986267785672,81.25,8.58
"Hill_Pandaran",0.160030968843176,0.820030968843176,0.0200309688431759,0.869354348295296,-1.35223600011356,1.28597863659983,0.130550218349187,77.25,9.25
"Agta_(Casiguran)",0.150052051752148,0.450052051752148,0.400052051752148,0.806092224146117,-1.29410877744397,3.42833119797105,-0.239885831087298,122.13,17.33
"Agta-(Isabela)",0.200163429232217,0.350163429232217,0.450163429232217,0.950691365058527,-1.268026049323,3.05041620174786,-0.0917114113127038,122.05,17.48
"Agta_(Cagayan)",0.350147851647931,0.500147851647931,0.150147851647931,1.35737644887468,-1.19400078284634,1.34604459626445,0.389855452954727,121.8,17.82
"Chenchu",0.100066497215655,0.850066497215655,0.0500664972156546,1.37545134148873,-0.837040017990765,-0.279490437159156,1.46411999632053,78.97,16.25
"Mrabri",0.200004044738123,0.750004044738123,0.0500040447381226,1.23085220057632,-1.0325362754308,0.354956261798324,0.908465922165806,100.47,18.41
"Paliyans",0.140103840179285,0.850103840179285,0.0101038401792855,1.3664138951817,-1.25411526099181,0.11594379729955,0.130550218349187,77.5,9.75
"Birhor",0.350047362120093,0.650047362120093,0.0000473621200930921,1.01395348920771,-0.387920280441097,0.446306575454924,2.2049920951935,84.38,23.41
"Kadar",0.0500723762024457,0.900072376202446,0.0500723762024457,1.05010327443581,-1.30007054387162,0.767909734492543,0.241681033180133,77.17,10.25
"Cholanaickan",0.150045190284206,0.750045190284206,0.100045190284206,1.45678835825196,-1.33385388696164,2.90525679922504,1.24185836665864,76.4,10.18
"Nayaka",0.100125440949302,0.900125440949302,0.000125440949301656,0.950691365058527,-1.18083521531861,-0.205659361738069,1.0566403419404,77.21,11.9
"Ainu_(Hokkaido)",0.150081519702185,0.100081519702185,0.750081519702185,-0.45915025883747,0.817101758747752,0.760401489534466,-0.721452695354728,144.17,44.01
